Configuracao,TotalOps,TamanhoFinal,JVM,SO,Memoria(MB),Media(ns),P50(ns),P99(ns)
avl-ops1000_theta0p0_shuffle.trace,1000,189,21.0.9,Windows 11 amd64,4078,208.40,205,227
bst-ops1000_theta0p0_shuffle.trace,1000,189,21.0.9,Windows 11 amd64,4078,202.10,212,227
avl-ops1000_theta0p0_sorted.trace,1000,138,21.0.9,Windows 11 amd64,4078,246.70,223,301
bst-ops1000_theta0p0_sorted.trace,1000,138,21.0.9,Windows 11 amd64,4078,271.30,254,314
avl-ops1000_theta0p6_shuffle.trace,1000,189,21.0.9,Windows 11 amd64,4078,276.40,185,905
bst-ops1000_theta0p6_shuffle.trace,1000,189,21.0.9,Windows 11 amd64,4078,299.30,296,310
avl-ops1000_theta0p6_sorted.trace,1000,138,21.0.9,Windows 11 amd64,4078,421.90,506,549
bst-ops1000_theta0p6_sorted.trace,1000,138,21.0.9,Windows 11 amd64,4078,248.90,249,274
avl-ops1000_theta0p99_shuffle.trace,1000,189,21.0.9,Windows 11 amd64,4078,346.00,179,763
bst-ops1000_theta0p99_shuffle.trace,1000,189,21.0.9,Windows 11 amd64,4078,233.40,223,259
avl-ops1000_theta0p99_sorted.trace,1000,138,21.0.9,Windows 11 amd64,4078,298.20,250,476
bst-ops1000_theta0p99_sorted.trace,1000,138,21.0.9,Windows 11 amd64,4078,301.20,275,468
avl-ops1000_theta1p2_shuffle.trace,1000,189,21.0.9,Windows 11 amd64,4078,357.30,206,1456
bst-ops1000_theta1p2_shuffle.trace,1000,189,21.0.9,Windows 11 amd64,4078,211.80,211,242
avl-ops1000_theta1p2_sorted.trace,1000,138,21.0.9,Windows 11 amd64,4078,200.80,196,251
bst-ops1000_theta1p2_sorted.trace,1000,138,21.0.9,Windows 11 amd64,4078,300.50,267,365
avl-ops10000_theta0p0_shuffle.trace,10000,1585,21.0.9,Windows 11 amd64,4078,155.00,132,216
bst-ops10000_theta0p0_shuffle.trace,10000,1585,21.0.9,Windows 11 amd64,4078,103.40,76,197
avl-ops10000_theta0p0_sorted.trace,10000,1789,21.0.9,Windows 11 amd64,4078,128.30,102,190
bst-ops10000_theta0p0_sorted.trace,10000,1789,21.0.9,Windows 11 amd64,4078,1277.10,1230,1412
avl-ops10000_theta0p6_shuffle.trace,10000,1585,21.0.9,Windows 11 amd64,4078,166.10,135,269
bst-ops10000_theta0p6_shuffle.trace,10000,1585,21.0.9,Windows 11 amd64,4078,103.90,79,160
avl-ops10000_theta0p6_sorted.trace,10000,1789,21.0.9,Windows 11 amd64,4078,132.00,103,206
bst-ops10000_theta0p6_sorted.trace,10000,1789,21.0.9,Windows 11 amd64,4078,1248.60,1222,1352
avl-ops10000_theta0p99_shuffle.trace,10000,1585,21.0.9,Windows 11 amd64,4078,182.20,146,277
bst-ops10000_theta0p99_shuffle.trace,10000,1585,21.0.9,Windows 11 amd64,4078,102.20,79,179
avl-ops10000_theta0p99_sorted.trace,10000,1789,21.0.9,Windows 11 amd64,4078,135.50,112,189
bst-ops10000_theta0p99_sorted.trace,10000,1789,21.0.9,Windows 11 amd64,4078,1313.00,1308,1383
avl-ops10000_theta1p2_shuffle.trace,10000,1585,21.0.9,Windows 11 amd64,4078,154.20,134,207
bst-ops10000_theta1p2_shuffle.trace,10000,1585,21.0.9,Windows 11 amd64,4078,99.60,72,182
avl-ops10000_theta1p2_sorted.trace,10000,1789,21.0.9,Windows 11 amd64,4078,127.60,101,209
bst-ops10000_theta1p2_sorted.trace,10000,1789,21.0.9,Windows 11 amd64,4078,1482.00,1456,1547
avl-ops100000_theta0p0_shuffle.trace,100000,16986,21.0.9,Windows 11 amd64,4078,155.40,150,179
bst-ops100000_theta0p0_shuffle.trace,100000,16986,21.0.9,Windows 11 amd64,4078,99.00,97,110
avl-ops100000_theta0p0_sorted.trace,100000,16645,21.0.9,Windows 11 amd64,4078,108.50,105,126
bst-ops100000_theta0p0_sorted.trace,100000,16645,21.0.9,Windows 11 amd64,4078,13607.00,13611,13848
avl-ops100000_theta0p6_shuffle.trace,100000,16986,21.0.9,Windows 11 amd64,4078,171.30,171,184
bst-ops100000_theta0p6_shuffle.trace,100000,16986,21.0.9,Windows 11 amd64,4078,110.40,106,127
